iter	Passed	Remaining
0	20	8124
1	36	7265
2	51	6749
3	66	6569
4	80	6351
5	95	6239
6	109	6153
7	124	6078
8	139	6039
9	154	6020
10	168	5962
11	183	5944
12	198	5904
13	212	5869
14	227	5829
15	241	5788
16	256	5774
17	270	5747
18	285	5715
19	300	5706
20	314	5679
21	327	5624
22	342	5611
23	356	5589
24	371	5568
25	385	5546
26	399	5524
27	414	5508
28	429	5491
29	444	5477
30	458	5454
31	473	5446
32	488	5432
33	504	5425
34	519	5414
35	533	5393
36	548	5378
37	563	5368
38	578	5354
39	592	5332
40	606	5312
41	621	5297
42	636	5281
43	649	5258
44	665	5248
45	680	5237
46	696	5231
47	711	5216
48	726	5202
49	741	5193
50	756	5173
51	769	5152
52	784	5136
53	799	5122
54	814	5111
55	830	5098
56	844	5082
57	858	5062
58	873	5046
59	889	5040
60	904	5028
61	920	5016
62	934	4998
63	948	4981
64	963	4966
65	978	4952
66	993	4936
67	1008	4923
68	1022	4905
69	1037	4889
70	1051	4873
71	1066	4858
72	1080	4842
73	1095	4823
74	1108	4805
75	1129	4814
76	1143	4796
77	1158	4781
78	1172	4766
79	1187	4750
80	1202	4736
81	1215	4712
82	1229	4694
83	1244	4682
84	1259	4669
85	1275	4655
86	1289	4638
87	1304	4624
88	1320	4615
89	1335	4601
90	1350	4586
91	1365	4571
92	1380	4558
93	1394	4539
94	1410	4527
95	1424	4512
96	1437	4489
97	1451	4473
98	1463	4448
99	1478	4434
100	1493	4422
101	1509	4410
102	1524	4396
103	1540	4384
104	1554	4368
105	1569	4354
106	1585	4340
107	1599	4324
108	1615	4312
109	1630	4298
110	1645	4283
111	1659	4267
112	1674	4253
113	1689	4239
114	1704	4224
115	1719	4209
116	1735	4198
117	1751	4186
118	1767	4173
119	1782	4158
120	1797	4144
121	1812	4129
122	1827	4114
123	1838	4092
124	1853	4078
125	1869	4064
126	1884	4050
127	1899	4036
128	1914	4021
129	1929	4008
130	1945	3995
131	1961	3982
132	1975	3966
133	1991	3953
134	2007	3940
135	2022	3925
136	2036	3909
137	2051	3895
138	2066	3879
139	2081	3864
140	2096	3850
141	2133	3877
142	2149	3863
143	2165	3849
144	2181	3836
145	2196	3820
146	2210	3804
147	2225	3789
148	2240	3774
149	2255	3759
150	2271	3745
151	2286	3730
152	2301	3715
153	2316	3699
